date,Always On (0),Gate >= 35,Gate >= 50,Gate >= 60,Gate >= 70
2025-06-26,3080299.8257639566,1276876.0664116344,1806460.8307665884,1167201.3629165073,759498.2466240475
2025-06-27,3234278.96203376,1340706.4483010639,1896742.8427291946,1225501.5551432825,797410.0287692305
2025-06-30,3395970.9842906133,1407706.2427787618,1991557.3329070318,1286755.01688293,837267.5707395399
2025-07-01,3226231.0852059163,1337382.6001731313,1892009.137136022,1222434.612060707,795442.8151936021
2025-07-02,3064965.780797364,1270573.6732933165,1797414.867085345,1161348.2248413924,755729.7688749506
2025-07-03,3218087.762666694,1333903.2965184455,1887207.225729546,1219249.5946472245,793501.365584224
2025-07-07,3057244.6446440406,1267237.3789267372,1792926.9867860945,1158353.8337558806,753831.5382692199
2025-07-08,2904581.4251257097,1203996.0452287206,1703505.1009657807,1100552.614784575,716430.749523081
2025-07-09,3049801.5701036,1264170.1384516035,1788551.1527207885,1155511.6199281414,752134.0448353249
2025-07-10,2897560.21332039,1201028.5619055717,1699451.3724836102,1097982.6279639788,714599.8854440725
2025-07-11,2752761.876559684,1140995.3828690161,1614580.522542846,1043128.3675414923,678875.9162286575
2025-07-14,2890396.9938721163,1198041.2793349354,1695308.2335327743,1095278.9385032116,712818.0439865619
2025-07-15,3034663.824877777,1257848.098517662,1779768.2453557085,1149607.2704325586,748428.211133529
2025-07-16,3186397.009237962,1320731.2465140535,1868748.116161339,1207080.6500190748,785842.1694562272
2025-07-17,3345690.5995896254,1386738.223555798,1962156.513561741,1267424.6668533632,825117.5386369699
2025-07-18,3512958.2888074312,1456060.4964004634,2060254.790514473,1330785.377093967,866370.7875541784
2025-07-21,3688596.5535022435,1528853.3957141798,2163253.484804076,1397310.9572724584,909686.2042074166
2025-07-22,3873024.0600202084,1605295.9061430031,2271413.089247573,1467174.8411739508,955166.544977162
2025-07-23,4066652.21400466,1685542.4261100788,2384960.123168695,1540529.698484974,1002911.983858294
2025-07-24,4269969.472884437,1769814.9936522958,2504115.553754011,1617493.4756753035,1052966.1238439472
2025-07-25,4056475.901701156,1681326.9788899561,2378910.174943693,1536620.914196989,1000318.4748650994
2025-07-28,4259206.171035371,1765332.444356916,2497854.0282645775,1613397.7476941715,1050261.7502926532
2025-07-29,4472119.869342552,1853553.9632221796,2622690.3605150976,1693979.1677034565,1102733.3726242806
2025-07-30,4695711.469221991,1946231.20317513,2753817.0581432767,1778669.2433389956,1157859.5067168446
2025-07-31,4460951.0797898695,1848940.418616285,2616138.032762033,1689755.2790988702,1099969.6948714063
2025-08-01,4237906.177964345,1756498.5207366822,2485332.667382882,1605269.3807256978,1044975.312740946
2025-08-04,4449797.187807106,1844294.140703443,2609570.409297743,1685520.3426328911,1097218.51100248
2025-08-05,4672129.345372573,1936429.0701293496,2739767.6374373026,1769499.0651915865,1151895.3051863788
2025-08-06,4905733.481186958,2033249.26094556,2876754.986197696,1857969.53156871,1151895.3051863788
2025-08-07,5150931.952304513,2134658.505173191,3020544.21308762,1950600.0651020086,1151895.3051863788
2025-08-08,5408456.468070155,2241388.323099592,3171569.0147384168,2048125.7305661975,1151895.3051863788
2025-08-11,5138160.945994651,2129614.232485221,3013047.583277284,1945940.838074239,1151895.3051863788
2025-08-12,5394992.57333109,2236034.2434487976,3163692.576867172,2043142.448965313,1151895.3051863788
