ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,pnl,return_pct,exit_reason,score_column,score_threshold
WMT,2026-03-06,2026-03-09,89.47368421052632,19,39787.74796463531,74,5.37672269792369,4.839050428131322,-3978.7747964635273,-9.999999999999991,stop,score_w5,0.5
AEP,2026-03-10,2026-03-12,100.0,14,38268.47275381556,104,3.6796608417130345,3.3116947575417313,-3826.8472753815513,-9.999999999999988,stop,score_w5,0.5
WDC,2026-03-11,2026-03-12,97.14285714285714,35,37133.9757286935,17,21.843515134525585,19.659163621073027,-3713.3975728693476,-9.999999999999993,stop,score_w5,0.5
COST,2026-03-12,2026-03-13,95.45454545454545,22,33103.965577242445,12,27.58663798103537,30.34530177913891,3310.396557724249,10.000000000000012,tp_day1,score_w5,0.5
HON,2026-03-31,2026-04-01,100.0,21,35644.130564229774,52,6.85464049312111,7.540104542433221,3564.413056422978,10.000000000000002,tp_day1,score_w5,0.5
XEL,2026-04-01,2026-04-02,95.45454545454545,22,37941.22280001811,189,2.0074721058210643,2.208219316403171,3794.122280001822,10.000000000000028,tp_day1,score_w5,0.5
HON,2026-04-02,2026-04-06,100.0,11,39271.96179252258,62,6.334187385890739,5.700768647301665,-3927.1961792522634,-10.000000000000012,stop,score_w5,0.5
WDC,2026-04-07,2026-04-08,96.66666666666667,30,35889.877650287024,11,32.62716150026093,35.889877650287026,3588.9877650287017,9.999999999999998,tp_day1,score_w5,0.5
HON,2026-04-14,2026-04-15,100.0,21,39024.179244597886,53,7.363052687659979,6.626747418893982,-3902.4179244597835,-9.999999999999986,stop,score_w5,0.5
WDC,2026-04-16,2026-04-17,96.42857142857143,28,35989.51092020813,10,35.98951092020813,39.58846201222895,3598.9510920208195,10.000000000000018,tp_day1,score_w5,0.5
